type, OBJ, lambda1no,lambda2no,lambda3no,lambda4no,lambda5no,A1no,A2no,A3no,A4no,A5no,S1no,lambda1hi,lambda2hi,lambda3hi,lambda4hi,lambda5hi,A1hi,A2hi,A3hi,A4hi,A5hi,S1hi,k1,k2, k3, k4, k5, k6no, k7no, k8no, k9no, k10no, k6hi, k7hi, k8hi, k9hi, k10hi 
 optimal , 0.093756, -3.3202343306203756512218205898535, -2.3887267339925415399193298071623, -0.033907323435047445614465289054351, -6.8192416005425095216173347889566e-05, -0.033625679848600112387124738688726, -0.12338909657684593579318743650219, 0.16475050003573898926845231471816, 1.6524362976189725937814500866807, 0.02763646496913112551863100918581, -0.72143416604699661665023313616985, -0.01563607169248874481648492462682, -0.34393487331769923009971989813494, -7.6706419536916878657017981879562e-05, -0.0013894192081514262441382934198941, -3.8833864990074147272025584243238, -0.070740810119486297047330936038634, 0.99870028182877124134364521523821, 2.1244887060364055339414107725915e-05, 0.00073111690630475625711504061854384, -0.090722255632346746057059760914854, 0.091269612010210388053366159510915, 0.0023642240186400511475772745484392, 0.017540810992105072135816001832609, 0.045846729810464406651426827465912, 0.00027663387897239869643931098330825, 0.015887650945093537840913100467333, 3.9181082599320031789602580829524, 1.3960030180775246932967093016487, 0.1627633356072502868183704549665, 2.3767159812702271171535803317987e-07, 0.14186422546943247557926781610149, 0.10607439507690590019262089072072, 0.035808228055407759216066665430844, 0.0016260619119803571604870873201776, 3.6551843883600869938764547353513e-08, 5.2593817122958443435123316755403e-14, 0.32504472742050610767350349306071 
 suboptimal , 0.39806, -5.7500400650753080711297116067726, -0.00023261554677883109604717704055332, -0.17609488282807206349644957299461, -0.29493961923486716747433433738479, -3.7221119058318907768523331469623, 7.5042798631784410900991133530624, 0.10288414587543129319335832860816, 0.87203636013215612976523516408633, -1.7806594701515729983753999476903, -5.6985408990344552648821263574064, -21.567700993645448903635042370297, -0.0010225203037632646114324375119509, -0.89894518255545918794524595796247, -0.00093431562388528969099327214919981, -0.033125522255704031859835367868072, -0.97063160006746385111142672030837, 0.0011336362631863283485095239555562, 4.7196504703149413373353127099108, -0.00061372664897848378494360499502136, 0.029852942379769955433266304112294, -3.7500233223089192158283822209341, -0.60380539607110961242142366245389, 0.0050435127625774933343705264121581, 0.015924372436064090224894229663732, 0.0098352784243793504870279065244176, 0.55036710095413887700033228611574, 0.53927969264636776980381682733423, 2.3130623491022022086838205723325, 1.1876001439419048288925750966882, 4.3311119711495029208341706050689e-05, 0.47844056150411157224411340393999, 5.3126690339312263589022222731728, 0.081504198137464692330844684420299, 0.7331133098757683930202233568707, 5.2446288972809981040069243762858e-05, 0.0057185558430479302427507093398162, 0.0011224442413070405411001928541737 
 suboptimal , 0.44739, -3.7396138297769421221516950026853, -0.022361145274017189821247342251809, -0.0049709536198978779980572895169644, -1.017738411825553690448487031972, -0.00020941914492018411098062102837503, 1.2839224868005159052586350298952, 0.62588541478078341118163052669843, -0.011475094569319095258452811947336, -0.93120520827095976112985908912378, 0.032872401258979500049406397010898, -3.8675963348835189492547215195373, -7.6085096650270571672081132419407, -0.6588233800762823832997128192801, -0.002990572278965347718937550780538, -0.0063828145411625823030243864764088, -0.0019758947751329710047774046444147, 0.58241853433308332643747462498141, 0.38926442991820020544935232464923, -0.062721294372870092792560114958178, 0.058967106696008596278257840594961, 0.032071223425577964627475324732586, -4.6880457279309490914442903886084, 0.0017224443384381293593171635691874, 0.0034992101846138220534732088395913, 0.00070247114075908416094828901066194, 0.041073878033945424026462944766536, 0.77484777602240806348987689489149, 3.464370051789403603947903320659, 1.1449359019180536112259005676606, 1.7690484148372431450017003631836e-06, 0.0078234302469741348606824260514259, 0.082795004251426274066716359811835, 6.4988683551832959750527152209543, 0.30325779942721858839504989191482, 0.0001927763977857877876476155876162, 0.00015985169271327267321788911935698, 0.12411976008473428467748789216785 
 suboptimal , 0.42004, -6.7745780865852589514020110073034, -0.014595974445965560761795387634265, -0.032991910141204422446392641177226, -6.2023864945277775717613621964119, -6.846971082147679102999221489867e-05, 5.9094201723523474001353861240204, 0.082210328464337789622362606678507, 0.67562562727617081481668037667987, -5.6918155306904152368474569811951, 0.024559402597559731873388955136761, -4.7544804285582547009880727273412, -0.37074329682326312429552217508899, -5.8253089250589509262567844416481, -0.00012805840394476951946481357857976, -0.00010819353895219233573608830223378, -0.029047998974745446038037144376176, 1.0168963959696883936345557231107, -0.06547126451226122079152247579259, -0.012338227483999507361200898003517, 0.0099034995673910192204303370999696, 0.051009596459181315297737313585458, 0.002901600942078365677478934969713, 0.0075308558663917564424128414657389, 0.019476177656654162367866334193423, 0.0002498823845802586882461349127027, 0.013643980146722498730804673527928, 6.0091325007931004620331805199385, 4.0297691581279052061369234201058e-09, 3.8216086591973037478453534276923, 0.19218137502199358901400216836919, 3.0823351240868732681121855421225, 0.017875372610851748139682015903418, 0.0027994073998489593484151338742549, 0.00019460161235322143624335011757864, 2.1643410054953564426041544695886e-12, 5.2657822157486907429114336709475e-06, 0.35560652252765317937743816401053 
 suboptimal , 0.36046, -0.24403741985624460841819427514565, -0.26099280588138645819995531383029, -0.00015712241197519125675968743038879, -0.021213307959093298526997983799447, -0.094121606956931891385664812332834, 6.0838288867782708280174119863659, -4.6467122353316474558937443362083, 0.029358569021908902801909491131482, 0.58740749352630505786265757706133, -1.0538827139948372391131670156028, -0.18519577431518480237215840134013, -4.9796769401394858078901961562224, -0.081109694321650341319873689371889, -0.20806690451836054589485058841092, -0.00082915181223439094176236308086914, -8.9137522806756745892553528420876e-05, 0.69083390759915219714315526289283, 0.10325784436118998210751840360899, 0.20573123042621568878907112321031, 0.00018949970116128946637061580826611, -1.2482087719157506115405520397132e-05, -3.4913109076193333812909713742556, 0.022597793394919372944595892249708, 0.059315811429738247995135935752842, 0.001832418828043083473822161266753, 0.090287618959224505421623518941487, 0.20376333308506253128022933651664, 1.7896936521840583996835211816334e-06, 0.0027234645535786795172983332236072, 0.00059242273355305315359065065905497, 0.31249825900647820731137471739203, 0.0076845817676950475133557105777982, 3.0786107699659535086311734630726, 0.0017027753058745881496044427549919, 1.1107890309056853705982348401449, 4.1254897959714880817209958774328e-05, 0.36463940016032120317035492007562 
 suboptimal , 0.37769, -5.9245586637264961993309952958953, -0.00021596830959886849062370761664909, -0.030998383514251010711904044114817, -0.026932201289053946807738881830119, -0.10952652850922130201016813089154, -6.9851717890197828121114087540633e-05, 0.034954991322473809300941383071404, 2.3854020925154002519263940484961, -1.234469932601465647081795395934, -0.18581729951851833071430064592278, -0.019938401006145602817332118661398, -0.88986299035721672101573176405509, -3.694513772673776674793089114246, -0.15435505079992276056266575778864, -0.00090873415836074207183048478952969, -0.15117604785032517922260808518331, 0.38796504203289983170321875149966, 0.11062815798468683681221591541544, -4.9978564619424572512684790126514, 0.00072877366921187205790061414134584, 5.4985344882556583812061035132501, -0.81375597286829293164345244804281, 0.10561696250562584153964706956685, 0.12541576982836538656229663502018, 0.040404269692200567298812075023307, 3.1059267954736888839306629961357, 0.30942258234768760249977503917762, 0.033782452439471852279062602519843, 8.5902991537315765779527941201077e-08, 0.00025731802673293274015195453152671, 0.010813605997888792870087470987528, 0.008579725564729946685194050814971, 0.014389989042632432905688411040046, 0.84412977162585212109746635178453, 0.030390336413747207067181932416133, 0.1954649474132768016687577983248, 0.043941834129970443190149609336004 
 suboptimal , 0.44006, -6.0061368824497289864439153461717, -0.030117854234295277082722464001563, -7.8948144879411910851234324137948e-05, -0.0036443687426126795091130272652435, -0.20719045129007737648940690178279, -0.0059891407728346222547055610618827, 0.86828508897887035633544883239665, 0.023985371692702928125839889617055, 0.012347536632799360756251871862332, 0.10137114346846187729056509851944, -0.011229309993946244572438075692844, -3.6200580703903804113963360578055, -0.052974657341964138945744622333223, -0.00098235166798930581046056520477805, -7.5761025319283882496941562312287e-05, -0.051882534782844207110752421385769, 0.77620451838534565425220534962136, 4.2124079182947697930217145767529, 0.022137786569392688823532111541681, -0.017853862112819498392246586604415, -3.9928963611366889985276884544874, -2.8259151072342869603915005427552, 0.0079339517653473703995281596235145, 0.015408947804334022224637124054425, 0.00020558427564907602244637097044233, 0.010749153746162224895566161819715, 0.20107853270729320049881039267348, 5.3365385603496751087959637516178, 0.026926471263549512508150840517374, 0.00010701816398546109914378943184232, 0.0012541098271801700593519601767412, 0.93499878856243556768390590150375, 1.8795236917632960338409020550898, 0.0093729928472795660809868678597923, 7.4987280827359432825232610220212e-05, 0.00051797387640213393873722669269455, 0.15811004246971041564684412605857 
 suboptimal , 0.37746, -1.1683907289530919282327658947906, -0.11279856960883768990377973295836, -0.0001655651369293985699423371604766, -0.017787088017977990134221855100805, -0.15955673855463783916697195763845, -0.034365689930113477168482916113135, 1.484907986061088536189345177263, 0.031045881198708383946760491767236, 0.32066535963356312954886107036145, -0.80225353696324663843597591039725, -0.0050468285599217233006186233978951, -0.021825100722879624270955645215508, -0.0014710012594454668390098195374094, -0.024974513423207663626035568427142, -0.87970849564767850115032388202962, -0.00021465379686315684657112179412053, -0.23433256063479401820615066753817, 0.016028653859603381875986727322925, 0.27331043778389457754585123439028, 0.95466685466694800599185555256554, -0.0096733856756520131270349338592496, -0.84156150776344462727251993783284, 0.0081306811005281958565360511670406, 0.022788262680795173809045195412182, 0.00090880976207504120690378046631963, 0.044226111550193840382672050282054, 0.86360880097666303800707510163193, 0.14838625378232378482223907667503, 0.20197994941307292893206692951935, 0.040896990525416412887160788613983, 0.0007634513119746492992856445880534, 0.052484873666935341618433596977411, 0.0067143091709145671236447228125144, 0.0048514334050689927185784355856413, 0.0006369374365649670827194128719384, 0.0040346335187576385511443177733781, 0.0025944967103231340345426136906326 
 suboptimal , 0.42747, -0.3582830543835990866341489891056, -0.069016298658819516531615079202311, -0.025347303109592891900980760055972, -0.00019793189604553842629239279737874, -0.24132346581544297792198960905807, 6.9055885920125721355589121230878, 2.1982276171151795551850227639079, 0.26922284409236663105247089333716, 0.037858167522713509489662442319968, -8.4108972207428323031308536883444, -0.60295360525066543644356897857506, -0.15053515112541560050374300772091, -0.28524017679610486064589736088237, -2.0146121324553495341271383556325e-05, -0.00061917428677266399695416909665369, -0.20539894207767325773339450734056, 1.6131073707344341094938044989249, 2.7738984270176336721647203376051, -0.0022452183629536183288866180163268, 0.0037241382601682143302368466208918, -3.3884847176492822740101473755203, -0.33806772397866036161673264359706, 0.040776299251721839778106470930652, 0.093234568565010708662832428217371, 0.0034064747198625350797784872014518, 0.22221648382960690337739606547984, 0.10570872987656426689184741007921, 0.010608616978189959120792984492709, 0.17319981960831354328433917544317, 0.00043767998430184560515465719277017, 1.9856119650790934227013381785376e-05, 0.007532537075881039038971476173856, 0.16871853991893590030137772828311, 0.020344648493177745068871686839884, 0.00013304376023715413341307056693807, 0.00050094683831059764068244222201542, 0.0002912662304406980306840935224244 
 suboptimal , 0.44538, -2.0662427061575758813205538899638, -0.055198072663923680725162057569833, -1.6247244754419130075007160485256, -0.0001766141985124624496673872986463, -0.083451858726674002508794103505352, 0.5913273911410560357282406585, 2.2452564016656473278032990492648, -0.65818475337745552256052405937226, 0.039671214002911424356678793401443, -1.2180702534321594665556176551036, -0.17474763652070457453646668000147, -3.3916378173383181504618733015377, -1.8159394189325719359828781307442, -0.065523270830072241621699902225373, -0.067402700090196859816771279838576, -0.00030957038317315586223310575064716, 0.75238382963083338950127654243261, 0.067577337611240351211705501555116, -0.86160733813315126816689826227957, 1.0412651732088731293401906441431, 0.00038099768220445362487680540652946, -2.6882586720886183506706856860546, 0.05441423194512198802108571271674, 0.079082604085946847649601920693385, 0.047403967078862345452261450873266, 2.5264000871491281152714236668544, 1.1666492218893815824287685245508, 0.053220910829959389154453219816787, 3.058191065188757151946667874054e-07, 4.6167511927792300517972047535498e-06, 0.66599086070251301006095445700339, 0.001484924439437134563446463175751, 1.3589018414769702403077644703444, 0.032848931063594946633266147273389, 0.34064268170628780874054086780234, 0.02171107165432135943650138187877, 0.047340876083884868286144609328403 
